city_id,country,state,city,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22,col_23,col_24,col_25,col_26,col_27,col_28,col_29,col_30,col_31,col_32,col_33,col_34,col_35,col_36,col_37,col_38,col_39,col_40,col_41,col_42,col_43,col_44,col_45,col_46,col_47,col_48,col_49,col_50,col_51,col_52
2262,China,Shanghai,Shanghai,24,20,4,8,8,4,28,8,NA,NA,48,4,8,9716,4780,228,4136,2124,160,64,908,396,28,24,236,156,308,384,80792,4,128,24,20,12,36,20,24,4,8,56,196,64,892,144,48,20,8,1800,NA,268,12,356
1879,China,Beijing,Beijing,12,10,2,2,4,2,14,4,NA,NA,22,2,2,3902,2264,106,2050,1150,52,24,518,156,8,14,122,70,138,222,43160,2,68,10,6,12,10,10,6,2,2,22,66,32,264,54,20,6,2,954,NA,108,4,66
2363,Turkey,Istanbul,Istanbul,44,28,12,NA,8,4,16,4,NA,4,64,4,NA,5384,3212,380,4152,2576,252,40,1560,452,20,24,248,152,408,452,169620,4,136,24,12,12,12,16,12,8,8,48,156,52,220,320,48,16,16,2604,NA,224,4,252
117,India,Maharashtra,Mumbai,17,5,3,NA,1,NA,4,2,NA,2,8,1,1,1882,1232,136,643,910,53,5,496,257,5,3,81,50,104,31,41046,1,18,2,NA,1,3,2,6,1,1,4,43,13,41,25,16,5,6,596,NA,19,3,15
312,Pakistan,Sindh,Karachi,6,9,3,NA,3,NA,6,NA,NA,3,18,NA,NA,1293,762,270,726,504,210,18,639,291,12,9,45,90,153,90,34395,NA,36,12,3,6,6,6,6,3,NA,6,24,18,39,72,12,6,6,1068,NA,57,3,36
2087,Russian Federation,Moskva,Moskva,32,20,8,4,4,12,24,4,NA,4,36,8,NA,10144,4848,480,4644,2420,248,60,1100,464,24,48,308,164,520,408,142192,NA,140,28,20,20,28,12,12,8,8,36,120,40,484,180,32,8,12,2932,NA,136,8,132
1511,Brazil,State Of São Paulo,São Paulo,32,24,8,4,8,4,20,8,4,4,36,4,NA,4536,3064,484,3352,2040,404,64,1312,504,20,16,208,212,396,288,92272,4,208,32,16,32,16,8,16,4,4,52,100,52,272,216,24,12,8,2564,NA,108,8,276
976,China,Tianjin,Tianjin,21,12,3,3,3,NA,21,3,3,NA,48,NA,3,2142,1119,135,1530,999,147,45,957,264,15,21,255,111,297,324,69861,NA,60,9,12,12,12,15,9,NA,3,12,54,33,570,141,24,12,6,1356,NA,117,6,168
1443,China,Guangdong,Guangzhou,18,12,6,3,6,3,24,6,NA,NA,39,3,3,3867,2316,276,2508,1578,207,30,771,231,18,18,258,102,264,246,57912,3,102,18,12,33,12,18,15,3,6,33,90,39,195,249,33,12,18,1425,NA,129,9,84
1932,India,Delhi,Delhi,12,9,5,NA,2,NA,7,3,NA,3,37,2,NA,1469,797,172,985,649,111,19,982,354,12,11,95,111,136,97,60632,2,38,6,5,9,12,5,5,5,NA,6,48,20,50,56,16,6,7,1401,NA,56,8,36
572,Nigeria,Lagos,Lagos,4,3,1,NA,2,1,4,1,NA,NA,5,NA,NA,330,1123,52,1070,691,33,11,138,32,2,1,12,10,36,31,5218,NA,12,NA,1,2,NA,NA,1,NA,NA,1,7,6,14,18,1,1,1,114,NA,10,NA,10
739,China,Guangdong,Shenzhen,8,4,2,2,2,1,6,2,1,NA,18,1,1,1698,1101,72,1088,707,46,12,256,100,6,6,61,54,98,105,20086,1,29,7,4,8,5,5,6,1,1,12,28,16,214,85,10,5,6,464,NA,36,4,33
1665,Korea (Republic Of),Seoul,Seoul,28,20,16,8,16,12,36,24,12,4,48,4,4,8072,4748,736,3456,1912,280,44,924,304,24,44,212,148,232,312,92452,4,172,32,12,16,36,8,16,16,4,88,72,72,320,204,28,12,12,1680,8,164,12,256
1708,China,Hubei,Wuhan,8,11,3,3,3,3,13,2,NA,NA,26,NA,2,1176,764,72,732,400,74,26,700,258,6,6,136,92,174,158,32778,NA,32,6,4,6,6,8,10,2,2,8,22,18,180,50,10,8,6,1180,NA,112,4,54
2083,Indonesia,Jakarta,Jakarta,6,6,4,2,2,2,8,6,2,4,40,2,2,2592,1384,264,1024,550,210,48,544,226,6,10,104,64,180,174,61628,NA,42,6,2,16,4,2,4,2,NA,12,36,12,74,54,20,4,6,890,NA,58,4,40
683,Mexico,Mexico City,Mexico City,72,36,12,4,8,4,16,8,4,4,56,8,4,7096,3696,220,4864,2592,128,96,1632,516,28,24,200,180,352,412,81204,4,120,20,24,56,20,12,16,8,4,80,80,36,300,216,48,20,12,2168,NA,312,16,148
2808,Japan,Tokyo,Tokyo,22,15,10,3,6,13,21,14,11,5,25,4,3,7659,4453,380,3588,2484,272,99,1095,357,19,51,162,113,194,251,40264,3,184,58,22,16,11,15,6,2,4,79,95,78,142,174,32,9,11,696,NA,198,10,60
1406,India,Karnataka,Bengaluru,12,16,8,NA,4,NA,12,8,NA,8,44,NA,NA,2884,1772,264,1272,780,384,40,1328,568,24,68,116,116,192,136,77660,4,76,12,4,4,20,8,12,8,NA,8,52,32,44,92,72,8,8,1632,NA,88,16,44
744,United States Of America,New York,New York,30,15,7,1,8,8,9,5,2,8,19,3,4,6011,3627,297,3501,2615,225,67,380,138,26,28,69,50,126,266,48568,NA,127,34,19,54,14,10,13,9,3,44,86,38,541,229,20,7,9,853,1,177,18,208
570,Thailand,Bangkok,Bangkok,12,15,6,6,6,6,27,6,3,3,72,3,3,5622,2526,456,2472,1254,168,36,795,228,15,27,183,117,222,264,81474,3,150,18,6,24,9,9,12,6,6,39,75,39,195,210,33,9,9,2343,NA,171,12,123
620,China,Guangdong,Dongguan,5,4,1,2,2,1,8,1,1,NA,13,1,1,505,389,59,378,367,44,14,315,56,10,5,56,31,98,59,19832,NA,16,14,4,4,4,5,6,1,1,8,23,14,NA,51,NA,4,4,NA,NA,NA,NA,48
2811,United Kingdom Of Great Britain And Northern Ireland,London,London,80,40,20,4,20,8,20,8,4,8,56,8,4,21324,18812,836,18396,17544,732,144,1368,652,28,64,388,188,448,496,141952,4,972,116,12,36,16,8,24,8,8,84,248,128,684,424,68,20,36,2148,NA,264,84,280
521,Egypt,Cairo Governorate,Cairo,16,16,8,NA,4,NA,8,4,NA,4,28,NA,NA,1948,1192,140,1008,596,92,32,1048,720,16,12,184,208,412,216,143436,NA,40,8,4,8,4,8,8,NA,NA,12,64,24,76,76,16,4,4,1812,NA,108,4,40
380,China,Sichuan,Chengdu,16,16,8,8,4,4,32,4,NA,NA,72,4,4,2572,1548,268,1804,996,120,52,1096,312,24,20,256,148,340,364,94904,4,96,12,12,12,8,20,16,4,4,32,88,44,168,164,28,16,16,1792,NA,124,8,88
1487,Colombia,Bogota,Bogotá,32,28,8,4,8,4,12,8,4,4,52,4,4,4072,2568,404,2612,1528,256,72,1376,416,24,12,204,144,380,300,70476,4,148,20,20,28,16,12,16,4,4,40,60,28,108,152,36,8,4,2540,NA,132,8,104
1084,China,Chongqing,Chongqing,24,12,6,6,6,3,18,3,NA,NA,51,NA,3,1812,1260,282,1302,714,222,33,933,207,21,18,228,144,252,237,66987,NA,66,9,18,15,15,3,12,3,6,24,66,33,213,129,18,12,9,1200,NA,138,9,171
2639,India,Gujarat,Ahmedabad,4,2,1,NA,1,NA,3,1,NA,1,26,1,NA,372,249,48,318,246,75,6,382,144,6,18,27,38,67,50,16893,1,13,3,NA,2,4,2,2,1,1,2,21,6,13,21,5,2,3,531,NA,18,3,24
2496,China,Jiangsu,Nanjing,10,8,2,2,2,2,20,2,NA,NA,24,2,2,1492,976,94,1110,798,54,30,676,150,8,8,116,82,198,172,45840,NA,44,10,8,10,10,12,10,2,2,14,40,22,110,96,14,8,6,1062,NA,72,6,56
1037,Hong Kong,Hong Kong,Hong Kong,51,29,19,14,15,14,56,16,9,9,131,10,10,25508,17463,1278,12244,8811,533,115,2485,755,54,48,358,193,430,696,179630,13,357,77,61,68,32,21,30,6,11,136,212,121,597,366,78,24,34,2012,NA,400,55,292
2058,India,Telangana,Hyderabad,27,15,4,3,3,NA,8,7,NA,7,57,3,NA,1287,892,259,1436,1291,206,28,1392,454,20,62,107,113,158,124,72288,4,42,9,3,13,15,6,10,5,NA,20,64,17,48,83,16,7,7,1963,NA,72,10,24
2684,China,Shaanxi,Xi'an,12,12,3,3,3,NA,21,3,NA,NA,39,3,NA,1305,840,93,960,690,135,42,864,492,12,15,129,75,183,204,67074,NA,39,9,9,30,12,18,12,3,6,12,39,36,534,120,15,12,6,1041,NA,93,9,108
2697,Pakistan,Punjab,Lahore,6,9,6,NA,3,NA,9,3,NA,3,33,NA,NA,1299,549,264,846,456,201,30,804,366,18,12,36,99,165,138,54453,NA,45,6,3,9,12,6,6,NA,NA,12,39,24,78,72,36,6,6,1173,NA,84,3,36
470,Brazil,State Of Rio De Janeiro,Rio De Janeiro,28,24,4,4,8,4,12,8,4,4,28,4,NA,3456,2424,740,3040,1964,612,64,1136,468,12,12,176,180,292,228,82240,4,184,40,8,40,12,8,12,4,NA,36,88,44,156,200,24,12,4,2004,NA,116,4,204
107,Vietnam,Hanoi,Hà Nội,2,3,1,1,1,NA,4,2,NA,NA,13,NA,NA,764,482,102,393,280,67,6,289,64,6,5,40,21,67,89,33548,NA,8,3,1,4,2,2,3,1,NA,5,16,7,34,32,6,2,1,447,NA,30,1,42
2526,Nigeria,Anambra,Onitsha,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,192,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2751,China,Liaoning,Shenyang,3,3,1,1,1,1,8,2,1,NA,28,NA,1,393,290,42,276,192,54,22,265,90,4,3,61,45,80,124,17801,1,19,NA,6,NA,4,5,6,1,1,5,18,13,354,57,6,4,3,NA,NA,25,2,NA
1896,China,Zhejiang,Hangzhou,15,15,3,3,6,3,21,6,NA,3,48,3,3,3027,1830,267,1995,1203,165,30,1218,369,12,24,156,120,225,297,68067,NA,69,21,12,9,18,15,12,3,3,15,66,51,114,141,24,15,12,1293,NA,123,12,213
1376,Bangladesh,Dhaka Division,Dhaka,10,19,5,NA,5,NA,15,9,NA,16,77,4,NA,1561,925,164,1298,941,142,56,1727,673,22,24,88,86,201,160,121452,1,80,16,8,26,16,8,16,1,2,9,54,37,72,125,32,9,16,1995,NA,78,10,56
1021,Singapore,Singapore,Singapore,40,28,20,8,12,12,48,16,8,16,104,8,8,21044,13304,520,11828,8824,384,132,2004,424,36,72,344,196,452,540,484304,8,324,108,40,56,40,16,28,8,16,96,144,88,668,496,68,20,32,2876,NA,576,48,212
2623,China,Jiangsu,Suzhou,6,4,2,2,2,1,7,2,NA,NA,25,1,1,1167,453,64,806,471,27,18,395,112,6,4,66,35,77,110,20738,1,13,4,7,12,10,5,4,1,2,9,26,15,167,64,9,4,6,777,NA,34,2,76
2791,Venezuela (Bolivarian Republic Of),Capital District,Caracas,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36,24,NA,24,12,NA,NA,4,4,NA,NA,NA,NA,NA,NA,1060,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,NA,4,NA,NA
1072,Canada,Ontario,Toronto,114,67,43,11,22,25,48,25,18,11,101,11,7,15212,13197,1157,11937,9118,695,284,2009,754,62,131,351,273,593,875,154887,7,781,129,62,160,54,29,36,18,15,164,389,173,1465,784,74,35,43,3472,NA,322,78,392
887,Chile,Santiago Metropolitan Region,Santiago De Chile,87,35,11,5,20,5,32,5,5,5,30,10,1,6275,3638,477,3435,2464,330,90,1536,563,54,45,284,190,404,421,92601,4,200,39,16,36,20,23,27,9,14,96,181,66,258,294,41,14,18,2300,NA,291,23,225
762,Russian Federation,Saint Petersburg,St. Petersburg,12,9,3,NA,3,6,9,3,NA,3,21,3,NA,3876,2022,273,2064,1158,270,21,591,231,18,15,243,108,255,204,76830,NA,54,21,3,21,6,3,3,3,3,18,42,21,168,72,12,6,6,1773,NA,84,6,57
371,India,Tamil Nadu,Chennai,3,4,3,NA,NA,NA,5,2,NA,2,9,1,NA,283,235,77,370,394,112,8,352,190,3,6,22,14,35,35,28333,1,10,2,NA,2,4,1,3,1,NA,5,8,4,16,18,6,3,2,576,NA,23,3,27
2031,China,Shandong,Qingdao,24,15,6,3,3,NA,24,3,NA,NA,48,NA,3,3033,1038,129,1128,1020,108,42,1020,216,21,18,168,90,219,198,70557,NA,33,9,9,12,12,18,15,3,3,12,42,33,234,192,21,12,6,1335,NA,111,15,36
764,China,Heilongjiang,Harbin,7,4,1,1,1,NA,7,1,NA,NA,9,NA,NA,621,302,71,557,269,37,13,329,82,5,8,71,35,73,58,38641,1,47,4,5,6,3,4,3,1,1,6,13,16,56,38,4,4,1,488,NA,33,5,13
1727,India,West Bengal,Kolkata,6,4,1,NA,NA,NA,1,2,NA,1,10,NA,NA,267,215,54,251,138,31,5,286,135,5,9,27,27,50,34,12769,1,16,3,1,2,3,2,4,1,NA,3,14,6,19,29,7,3,2,461,NA,23,2,9
691,Kenya,Nairobi County,Nairobi,5,6,3,1,1,NA,6,2,NA,2,12,1,NA,1297,805,68,507,402,35,27,280,112,5,3,20,28,73,63,19398,1,35,12,2,7,2,2,3,1,1,6,19,14,22,37,6,2,2,398,NA,51,2,16
1015,Turkey,Ankara,Ankara,12,9,4,1,2,1,8,1,NA,2,15,1,NA,1014,788,68,816,287,41,11,241,106,2,40,60,34,146,116,33616,1,26,4,2,2,4,2,2,NA,1,8,47,8,60,80,6,2,5,585,NA,32,2,159
2658,China,Shandong,Jinan,8,3,2,1,2,NA,7,NA,NA,NA,27,1,1,411,251,55,NA,NA,NA,9,432,69,8,3,47,20,57,55,25795,NA,11,NA,2,4,NA,2,2,NA,NA,4,17,7,418,29,1,4,NA,NA,NA,34,2,NA
1959,Australia,New South Wales,Sydney,60,40,12,4,20,12,28,12,8,12,64,8,4,12924,7800,592,8212,5548,468,156,2004,716,56,104,316,220,408,488,105920,4,476,88,20,36,20,8,20,8,8,96,212,136,768,484,48,12,28,2104,NA,240,112,240
2374,China,Henan,Zhengzhou,4,4,1,1,1,1,6,NA,NA,NA,9,NA,NA,499,319,99,301,215,33,10,800,168,4,5,56,36,71,98,17559,NA,17,NA,1,2,2,6,3,NA,NA,5,13,9,16,33,5,4,1,NA,NA,32,5,13
2660,Egypt,Alexandria Governorate,Alexandria,4,4,2,NA,1,NA,2,1,NA,NA,4,NA,NA,349,231,31,108,65,15,8,200,126,3,2,20,23,70,25,35555,NA,16,3,1,3,2,2,1,NA,NA,2,9,6,18,10,2,1,1,278,NA,19,1,8
256,China,Liaoning,Dalian,24,12,3,3,6,3,21,3,NA,NA,36,NA,NA,1707,1218,102,1065,765,84,36,1092,135,12,15,150,156,201,126,77109,NA,24,NA,9,NA,24,9,9,3,6,15,36,36,69,132,18,12,9,1254,NA,96,3,60
575,Saudi Arabia,Riyadh Province,Riad,32,32,16,4,12,4,16,4,4,NA,NA,8,4,8060,4588,584,5116,3088,432,248,1304,460,40,44,188,240,420,352,66344,NA,144,60,8,72,28,20,16,8,20,36,208,124,368,416,NA,16,NA,2452,NA,468,28,208
614,Australia,Victoria,Melbourne,60,40,20,4,20,20,28,12,8,20,52,8,4,10660,7228,652,5764,5124,520,188,1988,632,36,112,308,392,472,536,98992,4,444,72,20,44,16,12,20,12,8,112,220,112,1088,348,60,12,36,2492,NA,240,124,212
322,United States Of America,California,Los Angeles,72,39,18,3,27,12,21,12,3,18,45,9,9,12207,8592,798,8748,7149,525,159,1161,483,48,90,189,135,288,429,81867,3,159,99,30,60,24,15,24,15,6,108,210,132,1635,447,57,21,27,1506,3,219,39,594
629,India,Pune,Pune,23,18,9,NA,3,NA,10,7,NA,5,37,5,NA,1308,1049,258,1125,838,178,43,1494,748,22,13,105,146,175,147,58875,3,52,6,4,8,14,10,11,7,4,10,49,28,65,110,43,11,9,2493,NA,73,12,41
401,Japan,Kanagawa Prefecture,Yokohama,18,15,9,3,6,12,15,12,6,3,30,3,3,4221,2775,435,2589,1638,300,81,2097,480,42,45,144,108,207,216,53538,NA,243,72,33,24,9,12,12,3,3,81,84,72,144,141,15,9,9,1089,NA,174,9,141
462,Ghana,Greater Accra Region,Accra,10,8,5,2,2,3,10,3,2,1,9,2,1,1374,809,102,1281,440,72,29,359,86,8,7,34,39,60,37,14205,1,49,21,4,5,3,3,3,2,1,4,25,16,31,51,6,5,1,599,NA,53,2,57
1001,China,Yunnan,Kunming,12,12,6,3,3,NA,18,3,NA,NA,54,NA,3,1422,1047,135,948,687,162,36,756,306,12,12,303,105,258,294,42108,NA,45,15,12,12,30,12,12,6,3,9,42,33,246,132,15,9,6,1404,NA,75,6,60
2682,Korea (Republic Of),Busan,Busan,10,10,8,2,6,8,18,8,6,2,22,4,4,1636,1334,244,890,638,136,36,846,126,16,34,124,74,136,138,51056,2,80,28,6,12,22,12,6,2,2,22,28,30,144,56,16,8,4,1090,NA,84,6,48
1540,China,Jiangsu,Wuxi,4,4,1,2,2,NA,5,2,1,NA,19,1,1,855,472,85,554,345,148,13,388,154,4,5,111,56,96,60,23350,NA,33,NA,6,11,5,7,6,1,1,5,19,13,119,49,9,5,4,404,NA,80,2,81
2662,China,Fujian,Xiamen,21,12,3,6,6,NA,15,3,3,NA,36,NA,3,2367,1614,117,1812,1014,60,45,1359,138,12,12,315,141,318,153,78348,3,39,18,3,6,9,9,18,3,3,36,51,39,480,147,21,12,9,1773,NA,219,6,60
2683,China,Jilin,Changchun,4,3,1,2,1,1,7,1,NA,NA,11,NA,1,547,318,34,312,195,49,25,184,28,4,4,21,25,34,20,18106,NA,7,5,2,2,4,6,3,1,1,2,10,12,21,26,4,3,1,418,NA,33,2,16
1642,China,Zhejiang,Ningbo,7,4,2,1,1,1,9,NA,NA,NA,11,1,1,724,488,53,455,282,27,12,334,104,5,9,48,27,49,56,25098,NA,15,4,11,4,4,6,4,2,2,5,19,14,60,39,7,4,2,684,NA,34,3,13
2718,China,Guangxi,Nanning,6,5,1,2,2,NA,10,1,NA,1,11,2,1,530,270,47,319,192,78,10,311,311,6,5,97,12,59,55,48803,1,8,NA,3,2,NA,NA,4,NA,NA,2,13,22,NA,27,NA,NA,NA,NA,NA,13,2,NA
2730,China,Shanxi,Taiyuan,6,4,1,1,1,1,7,1,1,NA,14,NA,1,446,266,26,290,169,15,9,321,63,4,5,74,20,62,53,15059,NA,9,5,3,5,NA,6,3,1,1,7,24,12,55,43,7,3,3,557,NA,39,2,27
2127,Germany,Berlin,Berlin,84,56,24,4,16,16,32,12,8,4,32,8,4,10484,6984,1188,6640,4560,856,140,2328,448,28,68,396,160,412,624,135116,8,216,92,36,24,20,12,12,4,4,104,212,116,648,292,56,16,16,3624,NA,160,40,268
410,Canada,Quebec,Montreal,34,22,14,4,10,8,18,4,4,4,28,4,4,3794,2920,174,2394,2016,108,78,768,266,24,38,112,88,224,194,52060,2,146,44,16,42,12,8,10,8,4,44,98,44,266,224,28,8,12,1264,NA,76,20,258
2778,Turkey,İzmir Province,İzmir,30,18,6,3,6,3,15,3,NA,3,42,3,NA,3741,2295,216,2493,1341,162,24,939,267,15,12,96,96,216,219,121641,3,48,24,6,6,6,15,6,NA,3,30,81,27,69,180,21,6,6,1134,NA,72,3,159
1097,China,Anhui,Hefei,4,4,2,1,1,1,5,1,NA,1,13,1,1,375,332,51,288,239,92,10,213,101,5,6,46,60,66,80,14671,1,30,NA,7,16,9,8,4,NA,1,7,15,11,40,43,8,4,4,697,NA,55,3,27
2130,China,Jiangsu,Changzhou,6,4,2,1,1,1,18,3,NA,1,34,NA,1,2027,627,118,444,390,118,11,237,83,6,8,111,NA,124,139,NA,1,9,NA,2,NA,NA,NA,4,NA,NA,3,17,11,NA,57,7,4,4,NA,NA,25,2,NA
852,Egypt,Giza Governorate,Giza,2,2,1,NA,1,NA,1,1,NA,NA,4,NA,NA,323,190,32,244,237,17,14,152,114,4,2,36,29,90,51,12885,NA,11,NA,1,2,1,1,1,NA,NA,2,14,3,28,25,1,NA,NA,188,NA,13,NA,11
230,Spain,Community Of Madrid,Madrid,159,75,28,7,18,14,53,32,7,7,50,14,7,11686,8389,867,7994,6119,711,203,2681,807,61,92,521,186,589,663,221745,7,225,125,87,63,28,22,28,14,11,126,312,130,341,357,87,22,36,2328,NA,385,42,407
2675,China,Hebei,Tangshan,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,278,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19521,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
212,Nigeria,Kano,Kano,1,1,NA,NA,NA,NA,1,NA,NA,NA,4,NA,NA,274,181,32,326,98,NA,4,39,8,NA,NA,12,12,12,11,927,NA,5,NA,NA,1,NA,NA,NA,NA,NA,NA,2,1,NA,8,NA,NA,NA,NA,NA,9,NA,3
176,Morocco,Grand Casablanca,Casablanca,21,18,9,3,6,NA,15,3,NA,6,48,3,NA,4755,1662,342,2160,1374,414,69,954,603,24,9,186,204,357,213,90129,3,87,15,18,30,12,9,12,3,6,21,60,39,90,135,33,9,15,1860,NA,123,12,99
2726,China,Hunan,Changsha,5,5,1,1,2,NA,9,2,1,NA,10,NA,1,514,287,55,677,429,75,15,323,101,3,6,71,32,76,35,21481,NA,22,4,3,2,12,7,5,NA,1,3,21,15,27,45,8,3,5,390,NA,37,3,20
2551,India,Rajasthan,Jaipur,3,3,2,NA,NA,NA,1,1,NA,1,6,NA,NA,288,186,48,206,116,63,6,313,88,3,10,29,27,51,29,9285,NA,21,2,1,2,4,2,1,1,NA,2,8,4,17,23,3,1,2,402,NA,9,2,5
2752,China,Jiangsu,Xuzhou,3,4,1,1,1,NA,6,1,NA,NA,5,1,NA,437,274,38,210,263,21,6,242,66,4,5,29,25,63,62,NA,NA,11,NA,2,NA,5,NA,NA,1,NA,4,15,21,83,24,7,2,3,488,NA,38,2,NA
1659,China,Zhejiang,Wenzhou,4,2,1,2,1,1,11,2,NA,NA,10,NA,1,485,331,36,379,575,44,17,209,198,4,4,70,28,91,56,17486,NA,60,NA,2,3,5,6,6,1,NA,5,25,17,34,34,6,3,3,1154,NA,51,2,NA
144,China,Guizhou,Guiyang,2,3,1,1,1,1,8,1,NA,NA,14,NA,1,419,332,42,197,148,28,14,557,167,4,5,153,45,88,139,4183,1,23,NA,NA,2,NA,4,5,1,1,4,21,12,48,38,6,4,3,NA,NA,28,3,NA
2184,China,Xinjiang,Ürümqi,7,5,1,1,NA,NA,2,NA,NA,6,NA,1,NA,823,724,20,1233,NA,NA,55,453,NA,NA,NA,81,69,125,87,31010,NA,11,4,15,NA,NA,NA,NA,1,NA,4,9,7,NA,NA,4,3,5,NA,NA,62,3,NA
94,China,Shandong,Zibo,15,15,NA,3,NA,NA,12,NA,3,NA,81,NA,NA,825,834,207,627,417,123,12,1254,417,18,81,138,102,NA,NA,41829,NA,36,NA,12,18,12,9,6,3,NA,12,39,27,1002,123,18,9,6,834,NA,90,24,81
1220,China,Fujian,Fuzhou,3,3,2,1,2,1,10,1,1,NA,16,1,1,577,415,29,326,309,41,13,585,181,5,8,63,40,90,78,NA,1,22,NA,5,NA,7,3,3,2,1,3,20,13,120,46,6,4,3,NA,NA,28,1,NA
1834,Brazil,State Of Bahia,Salvador,28,24,8,4,8,4,20,8,4,4,36,4,NA,2684,1612,676,1856,1384,332,60,1248,452,20,12,184,212,272,204,73884,4,180,20,20,24,12,8,16,4,NA,40,80,40,128,180,24,8,4,2884,NA,100,20,128
2531,Argentina,Buenos Aires,Buenos Aires,16,10,4,1,3,1,7,2,NA,2,6,3,NA,900,570,71,602,418,64,18,458,236,5,5,103,62,114,94,26040,1,35,15,12,30,9,3,5,3,2,12,32,22,40,46,9,4,4,796,NA,33,3,29
301,India,Gujarat,Surat,2,2,1,NA,1,NA,3,1,NA,3,10,NA,NA,241,193,38,178,126,23,11,274,95,4,3,25,24,43,30,11072,NA,23,2,1,2,3,2,3,NA,NA,2,7,4,10,9,3,2,1,317,NA,15,2,8
2100,China,Hebei,Shijiazhuang,6,6,2,1,1,NA,NA,NA,NA,NA,11,NA,1,333,241,69,NA,NA,NA,10,NA,69,4,6,27,45,62,41,NA,1,13,NA,NA,NA,NA,NA,2,NA,NA,5,24,12,21,127,4,4,2,NA,NA,37,4,NA
2571,Brazil,Federal District,Brasília,16,12,4,NA,4,2,10,4,2,2,18,2,NA,2364,1606,316,1320,856,166,36,658,218,12,6,96,92,184,136,44664,2,94,32,8,18,8,4,6,2,2,20,54,22,92,78,12,4,4,1066,NA,66,4,98
563,India,Uttar Pradesh,Lucknow,3,3,1,NA,NA,NA,2,1,NA,1,7,NA,NA,271,190,51,202,151,51,6,314,105,3,6,23,35,55,30,7426,1,10,2,1,6,3,2,3,1,1,3,15,5,12,22,12,2,2,514,NA,17,2,12
1933,Ukraine,Kyiv City,Kiev,48,24,8,4,4,8,20,NA,NA,NA,20,4,NA,4116,2820,456,2520,1792,252,20,936,516,44,32,304,164,392,388,108448,4,92,20,12,60,44,12,16,4,4,44,104,52,148,196,28,4,8,4556,NA,188,8,64
1236,Saudi Arabia,Makkah Province,Dschidda,51,30,15,3,12,3,15,6,3,NA,NA,6,NA,2685,2028,576,2235,1773,369,153,930,324,18,21,108,186,345,264,71277,NA,228,54,12,54,18,15,12,3,9,30,138,96,243,210,NA,12,NA,1536,NA,321,18,168
2581,Italy,Lazio,Rome,36,22,12,2,8,8,18,6,2,2,16,4,2,4018,2862,490,2758,1872,260,62,1018,300,16,20,162,66,226,280,62510,4,80,30,16,20,10,8,8,6,6,56,102,44,188,162,24,4,10,1378,NA,102,16,250
2289,India,Uttar Pradesh,Kanpur,4,4,1,NA,1,NA,3,1,NA,1,5,1,NA,456,143,21,186,189,19,7,299,142,3,10,12,38,34,23,9271,NA,8,NA,1,2,2,2,3,1,NA,3,8,6,532,12,2,3,5,428,NA,10,1,6
2105,Indonesia,East Java,Surabaya,3,3,1,1,1,NA,2,2,1,2,16,1,1,479,246,65,305,180,53,12,192,72,6,3,38,24,60,67,26209,NA,15,3,2,12,3,1,2,NA,NA,4,16,5,18,32,7,2,3,505,NA,30,1,12
436,United States Of America,Illinois,Chicago,96,48,28,NA,28,16,28,16,8,8,64,12,16,15764,10856,604,9104,6232,576,264,968,768,44,168,240,200,396,580,124028,4,300,72,44,196,36,16,28,12,8,144,236,120,1168,448,64,20,32,2420,4,300,64,544
632,Japan,Osaka Prefecture,Osaka,18,12,9,3,6,12,21,12,6,3,36,3,3,3930,2580,318,2076,1314,144,81,1194,204,21,33,195,84,204,339,49548,3,204,63,24,36,12,12,12,3,3,69,93,72,249,192,15,9,9,1242,NA,189,9,84
897,China,Jiangsu,Huai'an,4,2,2,2,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1831,Pakistan,Punjab,Faisalabad,1,2,NA,NA,NA,NA,2,NA,NA,1,12,NA,NA,175,112,25,98,104,15,8,173,64,2,5,10,11,32,60,7006,NA,5,3,NA,1,2,NA,1,NA,NA,2,4,3,51,20,4,1,NA,197,NA,11,NA,10
